impl,schedule,M,N,K,threads,time_sec,gflops,checksum,max_error
openmp,default,1536,1536,1536,19,0.077888,93.053,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,20,0.074378,97.445,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,21,0.071495,101.375,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,22,0.067910,106.725,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,23,0.065087,111.355,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,24,0.071840,100.888,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,25,0.070640,102.602,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,26,0.068146,106.356,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,27,0.070159,103.304,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,28,0.068474,105.846,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,29,0.065481,110.685,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,30,0.067015,108.151,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,31,0.067640,107.151,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,32,0.072424,100.074,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,1,1.332905,5.438,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,2,0.655616,11.055,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,3,0.438105,16.543,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,4,0.328884,22.037,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,5,0.265063,27.343,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,6,0.228152,31.767,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,7,0.195317,37.108,9.0596836276e+08,-1.000e+00
openmp,static1,1536,1536,1536,8,0.171409,42.284,9.0596836276e+08,-1.000e+00
